ID: 83, Time: 2024-05-23 13:56:00, Type: long, Price: 525.56, Units: 1, Previous Balance: 99998.11000000003, New Balance: 99995.08000000003, Result: loss
ID: 85, Time: 2024-05-23 14:00:00, Type: long, Price: 525.99, Units: 1, Previous Balance: 99995.08000000003, New Balance: 99469.09000000003, Result: trade executed
ID: 87, Time: 2024-05-23 14:56:00, Type: long, Price: 525.68, Units: 1, Previous Balance: 99995.08000000003, New Balance: 99994.77000000002, Result: loss
ID: 89, Time: 2024-05-23 15:00:00, Type: long, Price: 525.82, Units: 1, Previous Balance: 99994.77000000002, New Balance: 99468.95000000001, Result: trade executed
ID: 91, Time: 2024-05-23 15:56:00, Type: long, Price: 526.04, Units: 1, Previous Balance: 99994.77000000002, New Balance: 99994.99, Result: win
ID: 93, Time: 2024-05-23 16:00:00, Type: long, Price: 525.95, Units: 1, Previous Balance: 99994.99, New Balance: 99469.04000000001, Result: trade executed
ID: 95, Time: 2024-05-23 17:56:00, Type: long, Price: 526.05, Units: 1, Previous Balance: 99994.99, New Balance: 99995.09000000001, Result: win
ID: 97, Time: 2024-05-23 18:00:00, Type: long, Price: 525.97, Units: 1, Previous Balance: 99995.09000000001, New Balance: 99469.12000000001, Result: trade executed
ID: 99, Time: 2024-05-23 18:56:00, Type: long, Price: 526.33, Units: 1, Previous Balance: 99995.09000000001, New Balance: 99995.45000000001, Result: win
ID: 101, Time: 2024-05-23 19:00:00, Type: long, Price: 526.34, Units: 1, Previous Balance: 99995.45000000001, New Balance: 99469.11000000002, Result: trade executed
ID: 103, Time: 2024-05-24 03:56:00, Type: long, Price: 526.94, Units: 1, Previous Balance: 99995.45000000001, New Balance: 99996.05000000002, Result: win
ID: 105, Time: 2024-05-24 04:00:00, Type: long, Price: 527.13, Units: 1, Previous Balance: 99996.05000000002, New Balance: 99468.92000000001, Result: trade executed
ID: 107, Time: 2024-05-24 04:56:00, Type: long, Price: 527.11, Units: 1, Previous Balance: 99996.05000000002, New Balance: 99996.03000000001, Result: loss
ID: 109, Time: 2024-05-24 05:00:00, Type: long, Price: 527.0, Units: 1, Previous Balance: 99996.03000000001, New Balance: 99469.03000000001, Result: trade executed
ID: 111, Time: 2024-05-24 05:56:00, Type: long, Price: 527.24, Units: 1, Previous Balance: 99996.03000000001, New Balance: 99996.27000000002, Result: win
ID: 113, Time: 2024-05-24 06:00:00, Type: long, Price: 527.29, Units: 1, Previous Balance: 99996.27000000002, New Balance: 99468.98000000003, Result: trade executed
ID: 115, Time: 2024-05-24 06:56:00, Type: long, Price: 527.16, Units: 1, Previous Balance: 99996.27000000002, New Balance: 99996.14000000003, Result: loss
ID: 117, Time: 2024-05-24 07:00:00, Type: long, Price: 527.36, Units: 1, Previous Balance: 99996.14000000003, New Balance: 99468.78000000003, Result: trade executed
ID: 119, Time: 2024-05-24 07:56:00, Type: long, Price: 527.82, Units: 1, Previous Balance: 99996.14000000003, New Balance: 99996.60000000003, Result: win
ID: 121, Time: 2024-05-24 08:00:00, Type: long, Price: 527.81, Units: 1, Previous Balance: 99996.60000000003, New Balance: 99468.79000000004, Result: trade executed
