ID: 476, Time: 2024-06-04 10:00:00, Type: short, Price: 527.17, Units: 1, Previous Balance: 99463.77, New Balance: 98936.6, Result: trade executed
ID: 478, Time: 2024-06-04 10:56:00, Type: short, Price: 525.3, Units: 1, Previous Balance: 99463.77, New Balance: 99461.90000000001, Result: loss
ID: 480, Time: 2024-06-04 11:00:00, Type: short, Price: 525.58, Units: 1, Previous Balance: 99461.90000000001, New Balance: 98936.32, Result: trade executed
ID: 482, Time: 2024-06-04 11:56:00, Type: short, Price: 526.01, Units: 1, Previous Balance: 99461.90000000001, New Balance: 99462.33, Result: win
ID: 484, Time: 2024-06-04 12:00:00, Type: short, Price: 526.04, Units: 1, Previous Balance: 99462.33, New Balance: 98936.29000000001, Result: trade executed
ID: 486, Time: 2024-06-04 12:56:00, Type: short, Price: 526.68, Units: 1, Previous Balance: 99462.33, New Balance: 99462.97, Result: win
ID: 488, Time: 2024-06-04 13:00:00, Type: short, Price: 526.76, Units: 1, Previous Balance: 99462.97, New Balance: 98936.21, Result: trade executed
ID: 490, Time: 2024-06-04 13:56:00, Type: short, Price: 528.66, Units: 1, Previous Balance: 99462.97, New Balance: 99464.87000000001, Result: win
ID: 492, Time: 2024-06-04 14:00:00, Type: short, Price: 528.73, Units: 1, Previous Balance: 99464.87000000001, New Balance: 98936.14000000001, Result: trade executed
ID: 494, Time: 2024-06-04 14:56:00, Type: short, Price: 527.43, Units: 1, Previous Balance: 99464.87000000001, New Balance: 99463.57, Result: loss
ID: 496, Time: 2024-06-04 15:00:00, Type: short, Price: 527.64, Units: 1, Previous Balance: 99463.57, New Balance: 98935.93000000001, Result: trade executed
ID: 498, Time: 2024-06-04 15:56:00, Type: short, Price: 528.46, Units: 1, Previous Balance: 99463.57, New Balance: 99464.39000000001, Result: win
ID: 500, Time: 2024-06-04 16:00:00, Type: short, Price: 528.42, Units: 1, Previous Balance: 99464.39000000001, New Balance: 98935.97000000002, Result: trade executed
ID: 502, Time: 2024-06-04 16:56:00, Type: short, Price: 528.33, Units: 1, Previous Balance: 99464.39000000001, New Balance: 99464.30000000002, Result: loss
ID: 504, Time: 2024-06-04 17:00:00, Type: short, Price: 528.4, Units: 1, Previous Balance: 99464.30000000002, New Balance: 98935.90000000002, Result: trade executed
ID: 506, Time: 2024-06-04 17:56:00, Type: short, Price: 528.56, Units: 1, Previous Balance: 99464.30000000002, New Balance: 99464.46000000002, Result: win
ID: 508, Time: 2024-06-04 18:00:00, Type: short, Price: 528.59, Units: 1, Previous Balance: 99464.46000000002, New Balance: 98935.87000000002, Result: trade executed
ID: 510, Time: 2024-06-04 18:56:00, Type: short, Price: 529.02, Units: 1, Previous Balance: 99464.46000000002, New Balance: 99464.89000000003, Result: win
ID: 512, Time: 2024-06-04 19:00:00, Type: short, Price: 528.98, Units: 1, Previous Balance: 99464.89000000003, New Balance: 98935.91000000003, Result: trade executed
ID: 514, Time: 2024-06-05 03:56:00, Type: short, Price: 529.08, Units: 1, Previous Balance: 99464.89000000003, New Balance: 99464.99000000003, Result: win
ID: 516, Time: 2024-06-05 04:00:00, Type: short, Price: 529.13, Units: 1, Previous Balance: 99464.99000000003, New Balance: 98935.86000000003, Result: trade executed
ID: 518, Time: 2024-06-05 04:56:00, Type: short, Price: 529.28, Units: 1, Previous Balance: 99464.99000000003, New Balance: 99465.14000000003, Result: win
ID: 520, Time: 2024-06-05 05:00:00, Type: short, Price: 529.3, Units: 1, Previous Balance: 99465.14000000003, New Balance: 98935.84000000003, Result: trade executed
ID: 522, Time: 2024-06-05 05:56:00, Type: short, Price: 529.67, Units: 1, Previous Balance: 99465.14000000003, New Balance: 99465.51000000002, Result: win
ID: 524, Time: 2024-06-05 06:00:00, Type: short, Price: 529.69, Units: 1, Previous Balance: 99465.51000000002, New Balance: 98935.82000000002, Result: trade executed
ID: 526, Time: 2024-06-05 06:56:00, Type: short, Price: 529.84, Units: 1, Previous Balance: 99465.51000000002, New Balance: 99465.66000000002, Result: win
ID: 528, Time: 2024-06-05 07:00:00, Type: short, Price: 530.0, Units: 1, Previous Balance: 99465.66000000002, New Balance: 98935.66000000002, Result: trade executed
ID: 530, Time: 2024-06-05 07:56:00, Type: short, Price: 529.98, Units: 1, Previous Balance: 99465.66000000002, New Balance: 99465.64000000001, Result: loss
ID: 532, Time: 2024-06-05 08:00:00, Type: short, Price: 530.09, Units: 1, Previous Balance: 99465.64000000001, New Balance: 98935.55000000002, Result: trade executed
ID: 534, Time: 2024-06-05 08:56:00, Type: short, Price: 530.13, Units: 1, Previous Balance: 99465.64000000001, New Balance: 99465.68000000002, Result: win
ID: 536, Time: 2024-06-05 09:00:00, Type: short, Price: 529.97, Units: 1, Previous Balance: 99465.68000000002, New Balance: 98935.71000000002, Result: trade executed
ID: 538, Time: 2024-06-05 09:56:00, Type: short, Price: 530.82, Units: 1, Previous Balance: 99465.68000000002, New Balance: 99466.53000000003, Result: win
ID: 540, Time: 2024-06-05 10:00:00, Type: short, Price: 531.0, Units: 1, Previous Balance: 99466.53000000003, New Balance: 98935.53000000003, Result: trade executed
ID: 542, Time: 2024-06-05 10:56:00, Type: short, Price: 532.08, Units: 1, Previous Balance: 99466.53000000003, New Balance: 99467.61000000003, Result: win
ID: 544, Time: 2024-06-05 11:00:00, Type: short, Price: 532.16, Units: 1, Previous Balance: 99467.61000000003, New Balance: 98935.45000000003, Result: trade executed
ID: 546, Time: 2024-06-05 11:56:00, Type: short, Price: 532.5, Units: 1, Previous Balance: 99467.61000000003, New Balance: 99467.95000000003, Result: win
ID: 548, Time: 2024-06-05 12:00:00, Type: short, Price: 532.56, Units: 1, Previous Balance: 99467.95000000003, New Balance: 98935.39000000003, Result: trade executed
ID: 550, Time: 2024-06-05 12:56:00, Type: short, Price: 532.92, Units: 1, Previous Balance: 99467.95000000003, New Balance: 99468.31000000003, Result: win
