ID: 84, Time: 2024-05-23 13:56:00, Type: short, Price: 525.57, Units: 1, Previous Balance: 99998.03999999996, New Balance: 99995.00999999997, Result: loss
ID: 86, Time: 2024-05-23 14:00:00, Type: short, Price: 526.01, Units: 1, Previous Balance: 99995.00999999997, New Balance: 99468.99999999997, Result: trade executed
ID: 88, Time: 2024-05-23 14:56:00, Type: short, Price: 525.7, Units: 1, Previous Balance: 99995.00999999997, New Balance: 99994.69999999997, Result: loss
ID: 90, Time: 2024-05-23 15:00:00, Type: short, Price: 525.83, Units: 1, Previous Balance: 99994.69999999997, New Balance: 99468.86999999997, Result: trade executed
ID: 92, Time: 2024-05-23 15:56:00, Type: short, Price: 526.07, Units: 1, Previous Balance: 99994.69999999997, New Balance: 99994.93999999997, Result: win
ID: 94, Time: 2024-05-23 16:00:00, Type: short, Price: 525.96, Units: 1, Previous Balance: 99994.93999999997, New Balance: 99468.97999999997, Result: trade executed
ID: 96, Time: 2024-05-23 17:56:00, Type: short, Price: 526.08, Units: 1, Previous Balance: 99994.93999999997, New Balance: 99995.05999999997, Result: win
ID: 98, Time: 2024-05-23 18:00:00, Type: short, Price: 526.01, Units: 1, Previous Balance: 99995.05999999997, New Balance: 99469.04999999997, Result: trade executed
ID: 100, Time: 2024-05-23 18:56:00, Type: short, Price: 526.36, Units: 1, Previous Balance: 99995.05999999997, New Balance: 99995.40999999997, Result: win
ID: 102, Time: 2024-05-23 19:00:00, Type: short, Price: 526.38, Units: 1, Previous Balance: 99995.40999999997, New Balance: 99469.02999999997, Result: trade executed
ID: 104, Time: 2024-05-24 03:56:00, Type: short, Price: 526.98, Units: 1, Previous Balance: 99995.40999999997, New Balance: 99996.00999999997, Result: win
ID: 106, Time: 2024-05-24 04:00:00, Type: short, Price: 527.18, Units: 1, Previous Balance: 99996.00999999997, New Balance: 99468.82999999997, Result: trade executed
ID: 108, Time: 2024-05-24 04:56:00, Type: short, Price: 527.15, Units: 1, Previous Balance: 99996.00999999997, New Balance: 99995.97999999997, Result: loss
ID: 110, Time: 2024-05-24 05:00:00, Type: short, Price: 527.04, Units: 1, Previous Balance: 99995.97999999997, New Balance: 99468.93999999997, Result: trade executed
ID: 112, Time: 2024-05-24 05:56:00, Type: short, Price: 527.28, Units: 1, Previous Balance: 99995.97999999997, New Balance: 99996.21999999997, Result: win
ID: 114, Time: 2024-05-24 06:00:00, Type: short, Price: 527.34, Units: 1, Previous Balance: 99996.21999999997, New Balance: 99468.87999999998, Result: trade executed
ID: 116, Time: 2024-05-24 06:56:00, Type: short, Price: 527.19, Units: 1, Previous Balance: 99996.21999999997, New Balance: 99996.06999999998, Result: loss
ID: 118, Time: 2024-05-24 07:00:00, Type: short, Price: 527.39, Units: 1, Previous Balance: 99996.06999999998, New Balance: 99468.67999999998, Result: trade executed
ID: 120, Time: 2024-05-24 07:56:00, Type: short, Price: 527.83, Units: 1, Previous Balance: 99996.06999999998, New Balance: 99996.50999999998, Result: win
ID: 122, Time: 2024-05-24 08:00:00, Type: short, Price: 527.83, Units: 1, Previous Balance: 99996.50999999998, New Balance: 99468.67999999998, Result: trade executed
