ID: 91, Time: 12:56:00, Type: long, Price: 562.065, Units: 1, Previous Balance: 100015.30499999996, New Balance: 100017.03499999996, Result: win
ID: 93, Time: 13:00:00, Type: long, Price: 562.945, Units: 1, Previous Balance: 100017.03499999996, New Balance: 99454.08999999995, Result: trade executed
ID: 95, Time: 13:56:00, Type: long, Price: 562.945, Units: 1, Previous Balance: 100017.03499999996, New Balance: 100017.88499999995, Result: win
ID: 97, Time: 14:00:00, Type: long, Price: 562.835, Units: 1, Previous Balance: 100017.88499999995, New Balance: 99455.04999999994, Result: trade executed
ID: 99, Time: 14:56:00, Type: long, Price: 562.835, Units: 1, Previous Balance: 100017.88499999995, New Balance: 100018.84499999994, Result: win
ID: 101, Time: 15:00:00, Type: long, Price: 561.61, Units: 1, Previous Balance: 100018.84499999994, New Balance: 99457.23499999994, Result: trade executed
ID: 103, Time: 15:56:00, Type: long, Price: 561.61, Units: 1, Previous Balance: 100018.84499999994, New Balance: 100021.02999999994, Result: win
ID: 105, Time: 16:00:00, Type: long, Price: 563.625, Units: 1, Previous Balance: 100021.02999999994, New Balance: 99457.40499999994, Result: trade executed
ID: 107, Time: 16:56:00, Type: long, Price: 563.625, Units: 1, Previous Balance: 100021.02999999994, New Balance: 100021.19999999994, Result: win
ID: 1, Time: 2024-05-22 08:01:00, Type: long, Price: 530.53, Units: 1, Previous Balance: 100000, New Balance: 99469.47, Result: trade executed
ID: 1, Time: 2024-05-22 09:00:00, Type: long, Price: 530.82, Units: 1, Previous Balance: 100000, New Balance: 99469.18, Result: trade executed
